Problem,,,17-Feb-20,18-Feb-20
88,problem with float accuracy?,,,
140,Likely correct,,,
146,too complex,,,
156,solve_ignores_conditions bug ,,,
166, Likely correct,,,
177,Likely correct,,,fixed
184,definite integral bogus,,,
214,old bug in to poly solve,,,
245,correct,,,fixed
260,power solve,,,
263,Likely correct,,,
275,error catch,,fixed,
287,maxima bug,,,
300,Likely correct,,,
301,no method,,,
318,Likely correct,,,fixed
323,not sure,,,
324,can’t verify,,,
326,,,,fixed
327,,,,fixed
328,,,,fixed
337,lambert,,,
339,can’t verify,,,
340,error catch/algsys,,,
341,bogus,,,
348,can’t verify,,,
361,Likely correct,,,fixed
362,Likely correct,,,fixed
373,can’t verify,,,
382,,,,fixed
383,,,,fixed
384,Likely correct,,,
385,redundant,,,
387,not sure,,,
392,lambert,,,
393,lambert,,,
394,lambert,,,
395,lambert,,,
396,bogus,,,
397,lambert,,,
398,no method,,,
399,no method,,,
402,no method,,,
405,no method,,,
407,power solve,,,
408,power solve,,,
409,power solve,,,
410,Likely correct,,,
412,Likely correct,,,
426,Likely correct,,,
452,can’t verify,,,
455,error catch,,,fixed
456,no method,,,
467,power solve,,,
468,arguably correct,,,
469,not sure,,,
474,Likely correct,,,
479,error catch,,,
480,error catch,,,
481,not sure,,,
482,can’t verify,,,
497,multiplicities,,,
499,spurious,,,
504,multiplicities,,,
506,algsys?,,,
509,spurious,,,
511,not sure,,,
518,can’t verify,,,
521,no method,,,
522,no method,,,
525,Likely correct,,,
535,multiplicities,,,
537,spurious,,,
541,power solve,,,
546,not sure,,,
550,can’t verify,,,
555,not sure,,,
565,error catch,,,fixed
571,not sure,,,
572,not sure,,,
578,Likely correct,,,
579,Likely correct,,,
580,Likely correct,,,
581,Likely correct,,,
582,Likely correct,,,
585,Likely correct,,,
596,Likely correct,,,
597,Likely correct,,,
599,Likely correct,,,
602,Likely correct,,,
619,bogus,,,
